quantity_tons,status,item_type,thickness,width,material_ref,product_ref,selling_price
48.52980747,1,1,1.0,1500.0,2490,628377,1097.0
54.80865229,1,1,1.25,1500.0,2490,628377,1092.0
30.59428024,1,1,1.5,1250.0,2490,628377,1093.0
48.3690577,1,1,1.5,1500.0,2490,628377,1090.0
24.83862092,1,1,2.0,1250.0,2490,628377,1089.0
33.84229634,1,1,2.99,1250.0,2490,628377,1097.0
502.2542962,0,1,1.47,1266.0,3424,628377,1105.0
101.2785845,1,1,1.12,1260.0,3427,628377,1135.0
120.202997,1,1,1.46,1190.0,3427,628377,1120.0
43.8378689,1,1,1.65,1360.0,3427,628377,1124.0
20.37597352,1,1,1.0,1000.0,1664,628377,1164.0
30.74558551,1,1,2.5,1250.0,2520,628377,1111.0
34.46301673,1,1,2.5,1150.0,2520,628377,1121.0
30.180251,1,1,0.93,1250.0,2627,164141591,1116.0
65.69796545,1,1,1.95,1348.0,1715,640665,983.0
106.0213821,1,1,0.93,1000.0,2627,164141591,1126.0
42.65270858,1,1,2.8,1250.0,1715,640665,976.0
504.008832,1,1,1.42,1315.0,1715,640665,1006.0
85.99527271,1,1,1.42,1350.0,1715,640665,1032.0
64.44519724,1,1,1.88,1260.0,1715,640665,1017.0
58.3380207,1,1,2.5,2000.0,2454,628377,1164.0
53.65074124,1,1,2.99,2000.0,2454,628377,1171.0
32.10926251,1,1,0.75,920.0,1881,1693867550,1166.0
161.0396399,0,1,1.5,1500.0,1523,1668701718,1174.0
72.0550848,1,1,2.5,720.0,1762,1670798778,1176.0
59.65753943,1,1,1.0,1203.0,2670,1668701718,1155.0
406.0158245,1,1,2.5,1100.0,4849,640665,906.0
34.52424544,0,1,2.0,1250.0,2670,1668701718,1144.0
51.05773887,1,1,4.0,1100.0,4627,640665,869.0
34.9544066,0,1,0.6,1250.0,2670,1668701718,1273.0
32.81336265,1,1,2.5,1100.0,4779,640665,880.0
29.9360766,0,1,0.9,1250.0,2670,1668701718,1212.0
27.58612162,1,1,4.0,1100.0,4779,640665,868.0
29.41750219,0,1,1.2,1250.0,2670,1668701718,1193.0
709.345922,1,1,4.0,1500.0,4607,640665,826.0
32.26171152,0,1,1.5,1250.0,2670,1668701718,1163.0
32.09757595,1,1,3.0,1500.0,4617,640665,847.0
123.9595567,1,1,2.5,1100.0,4679,640665,845.0
273.4701614,1,1,2.0,900.0,4607,640665,843.0
127.6551123,1,1,2.0,1550.0,4607,640665,837.0
704.990017,1,0,1.5,1500.0,1872,628377,894.54
707.182322,1,0,1.12,1240.0,1875,628377,979.54
253.7590932,1,0,0.5,1250.0,1896,164141591,967.54
209.9211349,1,0,1.0,1250.0,1897,164141591,946.54
254.2829445,1,0,0.8,1373.0,1898,164141591,1073.54
201.4798306,1,0,1.15,1283.0,1892,164141591,1063.54
2006.781626,1,0,1.5,1500.0,2022,640665,816.54
2002.612309,1,0,3.0,1500.0,2016,640665,797.54
